key,code-audit,start-period,end-period,mark,further-information-link,key:codeaudit2
audit-record-01,AU-1234-567,2000/01/01 00:00,2021/08/10 09:30,A_Plus,https://www.example.com/new-feature,code-audit-01
audit-record-02,AU-5678-901,2000/01/01 00:01,2021/08/10 09:30,A,https://www.example.com/new-feature,code-audit-02
audit-record-03,AU-9876-543,2020/02/29 20:00,2021/08/10 09:30,B,https://www.example.com/new-feature,code-audit-03
audit-record-04,AU-3456-789,2021/03/28 08:15,2022/07/30 00:00,C,https://www.example.com/new-feature,code-audit-04
audit-record-05,AU-8765-432,2021/03/28 08:15,2021/07/29 23:59,F,https://www.example.com/new-feature,code-audit-05
audit-record-06,AU-2345-678,2019/03/28 08:15,2020/02/29 20:00,F_Minus,https://www.example.com/new-feature,code-audit-06
audit-record-07,AU-6789-012,2021/03/28 08:15,2021/08/10 09:30,C,https://www.example.com/new-featureeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,code-audit-07
audit-record-08,AU-8901-234,2021/03/28 08:15,2021/08/10 09:30,B,https://www.example.com/new-featureeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,code-audit-08
audit-record-09,AU-4567-890,2021/03/28 08:15,2021/08/10 09:30,A,,code-audit-09
audit-record-10,AU-9012-345,2021/03/28 08:15,2021/08/10 09:30,A,http://a.b,code-audit-10
audit-record-11,AU-5432-109,2021/03/28 08:15,2021/08/10 09:30,F,http://website.com?active=true,code-audit-11
audit-record-12,AU-6780-123,2021/03/28 08:15,2021/08/10 09:30,C,https://www.example.com/new-feature,code-audit-12
audit-record-13,AU-1098-765,2021/03/28 08:15,2021/08/10 09:30,A_Plus,https://www.example.com/new-feature,code-audit-13
audit-record-14,AU-9870-321,2021/03/28 08:15,2021/08/10 09:30,F_Minus,https://www.example.com/new-feature,code-audit-14
audit-record-15,AU-5432-198,2021/03/28 08:15,2021/08/10 09:30,B,https://www.example.com/new-feature,code-audit-15
audit-record-16,AU-7891-198,2021/03/28 08:15,2021/08/10 09:30,B,https://www.example.com/new-feature,code-audit-16
