key,instantiation-moment,title,description,priority,status,start-duration,end-duration,optional-link
objective-01,2012/01/15 09:00,Lorem ipsum,Lorem ipsum,High,true,2012/01/15 10:00,2012/02/15 18:00,https://www.example.com/new-feature
objective-02,2012/01/15 09:00,L,Lorem ipsum,High,true,2012/01/15 10:00,2012/02/15 18:00,https://www.example.com/new-feature
objective-03,2012/01/15 09:00,Lo,Lorem ipsum,High,true,2012/01/15 10:00,2012/02/15 18:00,https://www.example.com/new-feature
objective-04,2012/01/15 09:00,लोरेम इप्सम,Lorem ipsum,High,true,2012/01/15 10:00,2012/02/15 18:00,https://www.example.com/new-feature
objective-05,2012/01/15 09:00,Lorem ipsum sit dolor amet. Lorem ipsum sit dolor amet. Lorem ipsum sit do,Lorem ipsum,High,true,2012/01/15 10:00,2012/02/15 18:00,https://www.example.com/new-feature
objective-06,2012/01/15 09:00,Lorem ipsum sit dolor amet. Lorem ipsum sit dolor amet. Lorem ipsum sit dol,Lorem ipsum,High,true,2012/01/15 10:00,2012/02/15 18:00,https://www.example.com/new-feature
objective-07,2012/01/15 09:00,<h1>hacked</h1>,Lorem ipsum,High,true,2012/01/15 10:00,2012/02/15 18:00,https://www.example.com/new-feature
objective-08,2012/01/15 09:00,'or 'A'='A,Lorem ipsum,High,true,2012/01/15 10:00,2012/02/15 18:00,https://www.example.com/new-feature
objective-09,2012/01/15 09:00,Lorem ipsum,L,High,true,2012/01/15 10:00,2012/02/15 18:00,https://www.example.com/new-feature
objective-10,2012/01/15 09:00,Lorem ipsum,Lo,High,true,2012/01/15 10:00,2012/02/15 18:00,https://www.example.com/new-feature
objective-11,2012/01/15 09:00,Lorem ipsum,लोरेम इप्सम,High,true,2012/01/15 10:00,2012/02/15 18:00,https://www.example.com/new-feature
objective-12,2012/01/15 09:00,Lorem ipsum,Lorem ipsum sit dolor amet. Lorem ipsum sit dolor amet. Lorem ipsum sit dolor amet. Lorem ipsum sit,High,true,2012/01/15 10:00,2012/02/15 18:00,https://www.example.com/new-feature
objective-13,2012/01/15 09:00,Lorem ipsum,Lorem ipsum sit dolor amet. Lorem ipsum sit dolor amet. Lorem ipsum sit dolor amet. Lorem ipsum sit.,High,true,2012/01/15 10:00,2012/02/15 18:00,https://www.example.com/new-feature
objective-14,2012/01/15 09:00,Lorem ipsum,<h1>hacked</h1>,High,true,2012/01/15 10:00,2012/02/15 18:00,https://www.example.com/new-feature
objective-15,2012/01/15 09:00,Lorem ipsum,'or 'A'='A,High,true,2012/01/15 10:00,2012/02/15 18:00,https://www.example.com/new-feature
objective-16,2012/01/15 09:00,Lorem ipsum,Lorem ipsum,Low,true,2012/01/15 10:00,2012/02/15 18:00,https://www.example.com/new-feature
objective-17,2012/01/15 09:00,Lorem ipsum,Lorem ipsum,Medium,true,2012/01/15 10:00,2012/02/15 18:00,https://www.example.com/new-feature
objective-18,2012/01/15 09:00,Lorem ipsum,Lorem ipsum,High,false,2012/01/15 10:00,2012/02/15 18:00,https://www.example.com/new-feature
objective-19,2012/01/15 09:00,Lorem ipsum,Lorem ipsum,High,true,2012/01/15 10:00,2012/02/15 18:00,
objective-20,2012/01/15 09:00,Lorem ipsum,Lorem ipsum,High,true,2012/01/15 10:00,2012/02/15 18:00,http://a.b
objective-21,2012/01/15 09:00,Lorem ipsum,Lorem ipsum,High,true,2012/01/15 10:00,2012/02/15 18:00,https://www.example.com/new-featureeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee
objective-22,2012/01/15 09:00,Lorem ipsum,Lorem ipsum,High,true,2012/01/15 10:00,2012/02/15 18:00,https://www.example.com/new-featureeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee
objective-23,2012/01/15 09:00,Lorem ipsum,Lorem ipsum,High,true,2012/01/15 10:00,2012/02/15 18:00,http://website.com/recursos
objective-23-1,2012/01/15 09:00,Lorem ipsum,Lorem ipsum,High,true,2012/01/15 10:00,2012/02/15 18:00,http://website.com?active=true
objective-24,2000/01/01 00:00,Lorem ipsum,Lorem ipsum,High,true,2012/01/15 10:00,2012/02/15 18:00,https://www.example.com/new-feature
objective-25,2000/01/01 00:01,Lorem ipsum,Lorem ipsum,High,true,2012/01/15 10:00,2012/02/15 18:00,https://www.example.com/new-feature
objective-26,2008/02/29 12:00,Lorem ipsum,Lorem ipsum,High,true,2012/01/15 10:00,2012/02/15 18:00,https://www.example.com/new-feature
objective-27,2012/01/15 09:00,Lorem ipsum,Lorem ipsum,High,true,2012/02/29 12:00,2012/03/01 18:00,https://www.example.com/new-feature
objective-28,2012/01/15 09:00,Lorem ipsum,Lorem ipsum,High,true,2012/01/15 10:00,2022/07/29 23:59,https://www.example.com/new-feature
objective-29,2012/01/15 09:00,Lorem ipsum,Lorem ipsum,High,true,2012/01/15 10:00,2022/07/30 00:00,https://www.example.com/new-feature
objective-30,2012/01/15 09:00,Lorem ipsum,Lorem ipsum,High,true,2012/01/15 10:00,2012/02/29 12:00,https://www.example.com/new-feature
objective-31,2012/01/15 09:00,Lorem ipsum,Lorem ipsum,High,true,2012/01/15 10:00,2012/01/15 11:00,https://www.example.com/new-feature
objective-32,2012/01/15 09:00,Lorem ipsum,Lorem ipsum,High,true,2012/01/15 10:00,2012/01/15 11:01,https://www.example.com/new-feature
