key,key:training-module,code,start-period,end-period,location,instructor,contact-email,optional-link
training-session-01,training-module-01,TS-AAA-000,2019/07/23 10:30,2019/07/30 11:00,This is a basic location,This is a basic instructor,instructor@gmail.com,https://ev.us.es/webapps/login/
training-session-02,training-module-01,TS-ZZZ-999,2019/07/23 10:30,2019/07/30 11:00,This is a basic locationIC,This is a basic instructor,instructor@gmail.com,https://ev.us.es/webapps/login/
training-session-03,training-module-01,TS-ABC-123,2019/07/23 10:30,2019/07/30 11:00,This is a basic location,This is a basic instructor,instructor@gmail.com,https://ev.us.es/webapps/login/
training-session-04,training-module-01,TS-BBB-111,2022/07/29 23:59,2022/08/29 00:00,This is a basic location,This is a basic instructor,instructor@gmail.com,https://ev.us.es/webapps/login/
training-session-05,training-module-01,TS-CCC-222,2022/07/29 23:00,2022/07/12 23:00,This is a basic location,This is a basic instructor,instructor@gmail.com,https://ev.us.es/webapps/login/
training-session-06,training-module-01,TS-DDD-444,2022/07/28 00:00,2023/07/28 00:00,This is a basic location,This is a basic instructor,instructor@gmail.com,https://ev.us.es/webapps/login/
training-session-07,training-module-01,TS-YYY-888,2022/06/28 00:00,2022/06/15 00:00,This is a basic location,This is a basic instructor,instructor@gmail.com,https://ev.us.es/webapps/login/
training-session-08,training-module-01,TS-XXX-777,2019/07/23 10:30,2019/07/30 11:00,This is a location with 75 characters aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,This is a basic instructor,instructor@gmail.com,https://ev.us.es/webapps/login/
training-session-09,training-module-01,TS-WWW-666,2019/07/23 10:30,2019/07/30 11:00,This is a location with 74 characters aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,This is a basic instructor,instructor@gmail.com,https://ev.us.es/webapps/login/
training-session-10,training-module-02,TS-EEE-555,2019/07/23 10:30,2019/07/30 11:00,Location 1,This is a basic instructor,instructor@gmail.com,https://ev.us.es/webapps/login/
training-session-11,training-module-02,TS-ABC-001,2019/07/23 10:30,2019/07/30 11:00,A,This is a basic instructor,instructor@gmail.com,https://ev.us.es/webapps/login/
training-session-12,training-module-02,TS-ABC-002,2019/07/23 10:30,2019/07/30 11:00,a,This is a basic instructor,instructor@gmail.com,https://ev.us.es/webapps/login/
training-session-13,training-module-02,TS-ABC-003,2019/07/23 10:30,2019/07/30 11:00,1,This is a basic instructor,instructor@gmail.com,https://ev.us.es/webapps/login/
training-session-14,training-module-02,TS-ABC-004,2019/07/23 10:30,2019/07/30 11:00,13,This is a basic instructor,instructor@gmail.com,https://ev.us.es/webapps/login/
training-session-15,training-module-02,TS-ABC-005,2019/07/23 10:30,2019/07/30 11:00,This is a basic location,This is a instructor with 75 characters aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,instructor@gmail.com,https://ev.us.es/webapps/login/
training-session-16,training-module-03,TS-ABC-006,2019/07/23 10:30,2019/07/30 11:00,This is a basic location,This is a instructor with 74 characters aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,instructor@gmail.com,https://ev.us.es/webapps/login/
training-session-17,training-module-03,TS-ABC-007,2019/07/23 10:30,2019/07/30 11:00,This is a basic location,This is a basic instructor,instructor@gmail.com,https://ev.us.es/webapps/login/
training-session-18,training-module-03,TS-ABC-008,2019/07/23 10:30,2019/07/30 11:00,This is a basic location,This is a basic instructor,instructor@gmail.com,https://ev.us.es/webapps/login/
training-session-19,training-module-10,TS-ABC-009,2019/07/23 10:30,2019/07/30 11:00,This is a basic location,This is a basic instructor,instructor@gmail.com,https://ev.us.es/webapps/login/
training-session-20,training-module-11,TS-ABC-010,2019/07/23 10:30,2019/07/30 11:00,This is a basic location,This is a basic instructor,instructor@gmail.com,https://ev.us.es/webapps/login/
training-session-21,training-module-12,TS-ABC-011,2019/07/23 10:30,2019/07/30 11:00,This is a basic location,This is a basic instructor,instructor@gmail.com,https://ev.us.es/webapps/login/
training-session-22,training-module-13,TS-ABC-012,2019/07/23 10:30,2019/07/30 11:00,This is a basic location,This is a basic instructor,instructor@gmail.com,https://ev.us.es/webapps/login/
training-session-23,training-module-14,TS-ABC-013,2019/07/23 10:30,2019/07/30 11:00,This is a basic location,This is a basic instructor,instructor@gmail.com,https://ev.us.es/webapps/login/
training-session-24,training-module-24,TS-ABC-014,2019/07/23 10:30,2019/07/30 11:00,This is a basic location,This is a basic instructor,instructor@gmail.com,https://ev.us.es/webapps/login/
training-session-25,training-module-25,TS-ABC-015,2019/07/23 10:30,2019/07/30 11:00,This is a basic location,This is a basic instructor,instructor@gmail.com,https://ev.us.es/webapps/login/
training-session-26,training-module-26,TS-ABC-016,2019/07/23 10:30,2019/07/30 11:00,This is a basic location,This is a basic instructor,instructor@gmail.com,https://ev.us.es/webapps/login/
